,Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP.1,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM,Games Played
DEN,Team Totals,240.0,44.5,89.5,0.4972067039106145,14.0,35.5,0.39436619718309857,10.5,15.0,0.7,7.5,33.5,41.0,28.0,10.0,8.0,14.0,16.5,113.5,,240.0,0.5905306971904267,0.5754189944134078,0.397,0.16849999999999998,18.55,72.0,47.15,63.150000000000006,10.05,14.5,12.7,100.0,115.0,106.8,,2
LAL,Team Totals,240.0,38.5,87.0,0.4425287356321839,7.5,29.0,0.25862068965517243,19.0,24.5,0.7755102040816326,10.5,32.5,43.0,23.5,9.5,5.5,13.5,20.5,103.5,,240.0,0.5292493352423808,0.48563218390804597,0.3335,0.2835,22.65,77.4,48.7,61.400000000000006,9.55,10.5,12.1,100.0,105.75,109.5,,2
GSW,Team Totals,240.0,42.0,94.0,0.44680851063829785,12.0,37.5,0.32,17.0,21.0,0.8095238095238095,12.5,31.5,44.0,25.5,12.5,4.5,15.0,23.5,113.0,,240.0,0.5472685005811702,0.5106382978723404,0.397,0.21900000000000003,23.95,70.4,46.9,59.75,12.05,7.6499999999999995,12.85,100.0,109.25,107.4,,2
PHO,Team Totals,240.0,38.0,88.0,0.4318181818181818,10.0,32.0,0.3125,15.5,20.0,0.775,13.5,41.0,54.5,19.5,6.0,5.0,19.5,21.5,101.5,,240.0,0.5242768595041323,0.48863636363636365,0.365,0.23149999999999998,29.049999999999997,76.75,54.4,50.95,5.9,8.8,16.8,100.0,100.2,100.75,,2
ORL,Team Totals,240.0,39.0,83.0,0.46987951807228917,9.0,31.0,0.2903225806451613,22.0,29.0,0.7586206896551724,13.5,37.5,51.0,20.5,9.0,5.5,14.0,18.0,109.0,,240.0,0.5691311612364244,0.5240963855421686,0.3725,0.352,32.65,77.55,56.849999999999994,53.150000000000006,9.5,11.100000000000001,12.8,100.0,115.5,96.9,,2
HOU,Team Totals,252.5,42.0,89.5,0.4692737430167598,10.0,33.0,0.30303030303030304,10.0,18.0,0.5555555555555556,9.0,28.0,37.0,24.5,6.5,2.5,18.0,25.0,104.0,,252.5,0.5337712995278177,0.5251396648044693,0.375,0.2015,20.55,65.6,42.6,58.55,6.35,4.75,15.75,100.0,100.9,118.69999999999999,,2
NYK,Team Totals,240.0,39.5,93.5,0.42245989304812837,19.0,42.5,0.4470588235294118,17.0,27.0,0.6296296296296297,14.5,31.5,46.0,27.0,9.0,3.0,12.5,21.5,115.0,,240.0,0.5456443347883849,0.5240641711229946,0.45599999999999996,0.2895,27.95,79.85,50.55,68.25,9.1,5.45,10.6,100.0,115.9,115.15,,2
BOS,Team Totals,240.0,41.0,86.0,0.47674418604651164,14.0,39.0,0.358974358974359,17.5,22.5,0.7777777777777778,11.5,39.0,50.5,19.0,6.5,8.5,14.0,20.5,113.5,,240.0,0.591762252346194,0.5581395348837209,0.4585,0.269,25.45,73.8,52.25,46.5,6.7,15.15,12.75,100.0,117.1,110.9,,2
IND,Team Totals,240,56,107,.523,20,43,.465,11,12,.917,10,41,51,38,10,8,12,23,143,,240,.637,.617,.402,.112,22.7,78.8,53.1,67.9,9.0,11.1,9.7,100.0,129.3,108.5,,1
WAS,Team Totals,240,44,96,.458,9,24,.375,23,29,.793,11,34,45,28,6,9,14,11,120,,240,.552,.505,.250,.302,21.2,77.3,46.9,63.6,5.4,14.1,11.4,100.0,108.5,129.3,,1
CHO,Team Totals,240.0,38.0,87.0,0.4367816091954023,9.0,32.5,0.27692307692307694,22.5,30.0,0.75,11.5,34.5,46.0,27.0,9.0,5.0,18.5,22.0,107.5,,240.0,0.5364271457085829,0.4885057471264368,0.374,0.344,24.9,73.95,49.2,69.85,8.5,8.4,15.600000000000001,100.0,102.5,105.2,,2
ATL,Team Totals,240.0,40.5,90.0,0.45,8.5,30.5,0.2786885245901639,25.5,31.5,0.8095238095238095,10.5,32.5,43.0,26.0,9.5,3.5,13.0,19.5,115.0,,240.0,0.553629886385519,0.49722222222222223,0.33999999999999997,0.35,22.45,72.95,47.3,64.1,9.2,7.5,11.15,100.0,111.15,116.95,,2
MIA,Team Totals,240.0,37.5,90.5,0.4143646408839779,12.0,27.5,0.43636363636363634,20.0,24.5,0.8163265306122449,13.5,33.0,46.5,23.0,9.5,4.5,9.5,17.0,107.0,,240.0,0.5282385466034755,0.48066298342541436,0.305,0.27049999999999996,25.55,66.65,45.6,61.35,9.899999999999999,7.85,8.55,100.0,110.85,114.35,,2
DET,Team Totals,240.0,40.5,90.0,0.45,10.5,31.0,0.3387096774193548,15.0,20.0,0.75,14.5,40.0,54.5,28.0,5.0,9.5,19.5,26.0,106.5,,240.0,0.5389676113360324,0.5083333333333333,0.34450000000000003,0.22349999999999998,31.650000000000002,74.85,55.099999999999994,69.15,4.9,14.3,16.45,100.0,106.45,101.4,,2
TOR,Team Totals,252.5,37.5,87.0,0.43103448275862066,11.5,35.5,0.323943661971831,13.5,20.5,0.6585365853658537,8.0,42.0,50.0,26.0,7.0,6.5,17.5,23.5,100.0,,252.5,0.5207248489897938,0.49712643678160917,0.40900000000000003,0.238,16.3,72.95,46.8,69.55,6.7,9.6,15.350000000000001,100.0,95.19999999999999,94.19999999999999,,2
MIN,Team Totals,240,34,100,.340,8,31,.258,18,22,.818,16,46,62,20,8,9,14,14,94,,240,.429,.380,.310,.220,29.1,85.2,56.9,58.8,7.8,16.4,11.3,100.0,92.1,95.1,,1
BRK,Team Totals,240.0,43.5,88.0,0.4943181818181818,15.0,35.0,0.42857142857142855,14.5,18.0,0.8055555555555556,11.5,37.0,48.5,30.0,5.5,5.0,16.0,22.0,116.5,,240.0,0.6072768974145121,0.5795454545454546,0.394,0.2095,27.4,81.30000000000001,55.4,69.05000000000001,5.6,9.55,14.3,100.0,117.55000000000001,120.55000000000001,,2
CLE,Team Totals,240.0,41.0,93.0,0.44086021505376344,14.5,44.0,0.32954545454545453,13.0,16.5,0.7878787878787878,8.5,34.5,43.0,22.5,10.0,7.0,11.5,19.5,109.5,,240.0,0.5460801915020945,0.5188172043010753,0.473,0.178,17.950000000000003,78.0,46.85,54.7,9.9,11.8,10.25,100.0,108.25,109.2,,2
MEM,Team Totals,240.0,37.5,88.0,0.42613636363636365,11.0,38.0,0.2894736842105263,18.0,22.0,0.8181818181818182,10.5,32.0,42.5,22.5,10.5,7.0,16.5,21.0,104.0,,240.0,0.5323505323505323,0.48863636363636365,0.4305,0.251,22.0,78.95,48.05,60.0,10.25,13.45,14.4,100.0,101.55,106.95,,2
NOP,Team Totals,240,40,85,.471,14,32,.438,17,22,.773,11,41,52,22,8,5,21,21,111,,240,.586,.553,.376,.259,27.5,83.7,58.4,55.0,7.8,10.4,18.2,100.0,108.7,101.8,,1
CHI,Team Totals,252.5,38.0,96.5,0.39378238341968913,10.0,40.5,0.24691358024691357,18.0,23.0,0.782608695652174,14.0,33.0,47.0,22.0,10.0,4.0,14.0,19.0,104.0,,252.5,0.4877133746013881,0.44559585492227977,0.4205,0.237,25.25,83.75,49.45,57.650000000000006,9.75,8.7,11.55,100.0,101.05,110.75,,2
OKC,Team Totals,240.0,42.5,84.5,0.5029585798816568,16.0,32.5,0.49230769230769234,15.0,18.5,0.8108108108108109,5.5,39.5,45.0,26.0,7.0,7.0,16.5,18.0,116.0,,240.0,0.6260794473229706,0.5976331360946746,0.38749999999999996,0.219,13.85,79.1,50.05,60.85,6.85,14.5,15.100000000000001,100.0,114.35,102.69999999999999,,2
UTA,Team Totals,240.0,41.5,93.5,0.44385026737967914,12.5,34.5,0.36231884057971014,21.5,26.5,0.8113207547169812,16.5,33.0,49.5,24.5,6.5,3.0,14.0,22.0,117.0,,240.0,0.5562951692658806,0.5106951871657754,0.3675,0.28500000000000003,35.5,77.05000000000001,55.05,59.0,6.550000000000001,6.7,11.75,100.0,118.2,125.05,,2
SAC,Team Totals,240.0,44.0,98.0,0.4489795918367347,15.5,45.5,0.34065934065934067,18.5,24.5,0.7551020408163265,12.5,30.5,43.0,26.5,8.0,5.5,12.5,20.5,122.0,,240.0,0.5607648464791322,0.5280612244897959,0.46299999999999997,0.2525,26.05,73.4,48.4,60.1,7.7,9.1,10.3,100.0,118.3,114.2,,2
SAS,Team Totals,252.5,46.0,91.5,0.5027322404371585,12.0,38.5,0.3116883116883117,18.5,25.0,0.74,10.5,33.5,44.0,32.5,9.5,4.5,18.5,20.0,122.5,,252.5,0.5975609756097561,0.5683060109289617,0.42000000000000004,0.27249999999999996,23.9,73.65,49.2,70.65,8.7,7.75,15.3,100.0,112.69999999999999,114.2,,2
DAL,Team Totals,240.0,45.5,95.0,0.4789473684210526,15.0,41.5,0.3614457831325301,19.5,25.5,0.7647058823529411,10.5,33.5,44.0,22.0,5.5,2.5,10.5,17.5,125.5,,240.0,0.5907550367162493,0.5578947368421052,0.4355,0.27,22.15,77.85,48.8,48.3,5.3,4.85,8.95,100.0,121.30000000000001,115.5,,2
LAC,Team Totals,240.0,44.0,83.5,0.5269461077844312,15.0,34.5,0.43478260869565216,17.5,22.0,0.7954545454545454,10.0,30.5,40.5,26.5,9.5,6.5,15.5,21.0,120.5,,240.0,0.6465979823996565,0.6167664670658682,0.4165,0.271,26.75,65.6,48.65,59.05,9.75,11.2,14.25,100.0,123.6,118.55000000000001,,2
POR,Team Totals,240.0,39.5,90.5,0.43646408839779005,9.5,32.0,0.296875,15.5,19.0,0.8157894736842105,15.0,28.5,43.5,17.5,8.0,2.5,16.5,22.0,104.0,,240.0,0.525996358486749,0.4889502762430939,0.354,0.211,31.3,70.15,49.1,44.2,8.25,4.55,14.3,100.0,107.45,116.15,,2
MIL,Team Totals,240,41,81,.506,11,30,.367,25,36,.694,8,35,43,20,9,4,14,23,118,,240,.609,.574,.370,.444,18.6,89.7,52.4,48.8,8.9,8.9,12.6,100.0,116.1,115.1,,1
PHI,Team Totals,240,41,80,.513,16,35,.457,19,28,.679,4,35,39,25,8,4,15,28,117,,240,.634,.613,.438,.350,10.3,81.4,47.6,61.0,7.9,7.8,14.0,100.0,115.1,116.1,,1
