Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Spencer Dinwiddie,39:54,6,13,.462,3,10,.300,1,2,.500,1,4,5,14,3,1,2,1,16,-6,39:54,.576,.577,.769,.154,2.8,11.7,7.2,44.6,3.7,2.0,12.6,16.5,139,123,8.9
Mikal Bridges,39:42,6,17,.353,3,4,.750,3,3,1.000,1,5,6,2,1,0,2,1,18,-2,39:42,.491,.441,.235,.176,2.8,14.7,8.6,6.4,1.2,0.0,9.8,21.3,104,129,-7.1
Cam Thomas,36:37,15,24,.625,5,13,.385,6,6,1.000,0,5,5,2,1,0,5,5,41,-3,36:37,.770,.729,.542,.250,0.0,16.0,7.8,10.3,1.3,0.0,15.8,35.9,127,128,5.3
Nic Claxton,33:06,8,12,.667,0,0,,3,3,1.000,5,7,12,1,0,4,2,1,19,-5,33:06,.713,.667,.000,.250,16.9,24.8,20.7,4.3,0.0,9.8,13.1,19.2,137,122,3.0
Cameron Johnson,28:50,5,12,.417,3,7,.429,0,1,.000,0,2,2,5,0,0,0,4,13,-2,28:50,.523,.542,.583,.083,0.0,8.1,4.0,22.7,0.0,0.0,0.0,17.9,129,134,-2.4
Royce O'Neale,34:02,4,10,.400,3,9,.333,0,0,,3,2,5,3,1,1,3,4,11,+3,34:02,.550,.550,.900,.000,9.8,6.9,8.4,10.8,1.4,2.4,23.1,15.9,104,130,-4.2
Jalen Wilson,10:45,1,1,1.000,0,0,,0,0,,1,0,1,0,0,0,1,1,2,-5,10:45,1.000,1.000,.000,.000,10.4,0.0,5.3,0.0,0.0,0.0,50.0,7.7,97,137,-9.4
Day'Ron Sharpe,8:56,0,3,.000,0,0,,0,0,,3,1,4,2,0,2,0,3,0,-2,8:56,.000,.000,.000,.000,37.5,13.1,25.6,23.9,0.0,18.2,0.0,13.9,98,121,-7.1
Trendon Watford,8:05,0,1,.000,0,0,,0,0,,0,2,2,2,0,0,1,1,0,+2,8:05,.000,.000,.000,.000,0.0,29.0,14.1,26.4,0.0,0.0,50.0,10.3,58,127,-10.9
Dorian Finney-Smith,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress
Harry Giles,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Dennis Smith Jr.,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team
Team Totals,240,45,93,.484,17,43,.395,13,15,.867,14,28,42,31,6,8,16,21,120,,240,.602,.575,.462,.161,32.6,68.3,50.0,68.9,6.1,13.6,13.8,100.0,122.9,127.0,
