Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS.1,Unnamed: 6,Unnamed: 7,Attend.,Arena,Notes,f_Date,Home_s,Visitor_s,Home_abbr,Away_abbr
"Tue, Nov 14, 2023",8:00p,Dallas Mavericks,110,New Orleans Pelicans,131,Box Score,,16354.0,Smoothie King Center,In-Season Tournament,20231114,NOP,DAL,NOP,DAL
"Tue, Nov 14, 2023",9:00p,Portland Trail Blazers,99,Utah Jazz,115,Box Score,,18206.0,Delta Center,In-Season Tournament,20231114,UTA,POR,UTA,POR
"Tue, Nov 14, 2023",10:00p,Los Angeles Clippers,108,Denver Nuggets,111,Box Score,,19661.0,Ball Arena,In-Season Tournament,20231114,DEN,LAC,DEN,LAC
"Tue, Nov 14, 2023",10:00p,Minnesota Timberwolves,104,Golden State Warriors,101,Box Score,,18064.0,Chase Center,In-Season Tournament,20231114,GSW,MIN,GSW,MIN
"Tue, Nov 14, 2023",10:30p,Memphis Grizzlies,107,Los Angeles Lakers,134,Box Score,,18430.0,Crypto.com Arena,In-Season Tournament,20231114,LAL,MEM,LAL,MEM
"Wed, Nov 15, 2023",7:00p,Dallas Mavericks,130,Washington Wizards,117,Box Score,,16632.0,Capital One Arena,,20231115,WAS,DAL,WAS,DAL
"Wed, Nov 15, 2023",7:30p,New York Knicks,116,Atlanta Hawks,114,Box Score,,17060.0,State Farm Arena,,20231115,ATL,NYK,ATL,NYK
"Wed, Nov 15, 2023",7:30p,Boston Celtics,117,Philadelphia 76ers,107,Box Score,,19773.0,Wells Fargo Center,,20231115,PHI,BOS,PHI,BOS
"Wed, Nov 15, 2023",7:30p,Milwaukee Bucks,128,Toronto Raptors,112,Box Score,,19800.0,Scotiabank Arena,,20231115,TOR,MIL,TOR,MIL
"Wed, Nov 15, 2023",8:00p,Orlando Magic,96,Chicago Bulls,94,Box Score,,19092.0,United Center,,20231115,CHI,ORL,CHI,ORL
"Wed, Nov 15, 2023",9:00p,Minnesota Timberwolves,115,Phoenix Suns,133,Box Score,,17071.0,Footprint Center,,20231115,PHO,MIN,PHO,MIN
"Wed, Nov 15, 2023",10:00p,Sacramento Kings,125,Los Angeles Lakers,110,Box Score,,18687.0,Crypto.com Arena,,20231115,LAL,SAC,LAL,SAC
"Wed, Nov 15, 2023",10:00p,Cleveland Cavaliers,109,Portland Trail Blazers,95,Box Score,,18137.0,Moda Center,,20231115,POR,CLE,POR,CLE
"Thu, Nov 16, 2023",7:30p,Brooklyn Nets,115,Miami Heat,122,Box Score,,19866.0,Kaseya Center,,20231116,MIA,BRK,MIA,BRK
"Thu, Nov 16, 2023",10:00p,Oklahoma City Thunder,128,Golden State Warriors,109,Box Score,,18064.0,Chase Center,,20231116,GSW,OKC,GSW,OKC
"Fri, Nov 17, 2023",7:00p,Milwaukee Bucks,130,Charlotte Hornets,99,Box Score,,19258.0,Spectrum Center,In-Season Tournament,20231117,CHO,MIL,CHO,MIL
"Fri, Nov 17, 2023",7:00p,New York Knicks,120,Washington Wizards,99,Box Score,,16886.0,Capital One Arena,In-Season Tournament,20231117,WAS,NYK,WAS,NYK
"Fri, Nov 17, 2023",7:30p,Philadelphia 76ers,126,Atlanta Hawks,116,Box Score,,17067.0,State Farm Arena,In-Season Tournament,20231117,ATL,PHI,ATL,PHI
"Fri, Nov 17, 2023",7:30p,Detroit Pistons,100,Cleveland Cavaliers,108,Box Score,,19432.0,Rocket Mortgage Fieldhouse,In-Season Tournament,20231117,CLE,DET,CLE,DET
"Fri, Nov 17, 2023",7:30p,Sacramento Kings,129,San Antonio Spurs,120,Box Score,,18354.0,Frost Bank Center,In-Season Tournament,20231117,SAS,SAC,SAS,SAC
"Fri, Nov 17, 2023",7:30p,Boston Celtics,108,Toronto Raptors,105,Box Score,,19800.0,Scotiabank Arena,In-Season Tournament,20231117,TOR,BOS,TOR,BOS
"Fri, Nov 17, 2023",8:00p,Orlando Magic,103,Chicago Bulls,97,Box Score,,20235.0,United Center,In-Season Tournament,20231117,CHI,ORL,CHI,ORL
"Fri, Nov 17, 2023",8:00p,Denver Nuggets,110,New Orleans Pelicans,115,Box Score,,15278.0,Smoothie King Center,In-Season Tournament,20231117,NOP,DEN,NOP,DEN
"Fri, Nov 17, 2023",10:00p,Los Angeles Lakers,107,Portland Trail Blazers,95,Box Score,,18570.0,Moda Center,In-Season Tournament,20231117,POR,LAL,POR,LAL
"Fri, Nov 17, 2023",10:00p,Phoenix Suns,131,Utah Jazz,128,Box Score,,18206.0,Delta Center,In-Season Tournament,20231117,UTA,PHO,UTA,PHO
"Fri, Nov 17, 2023",10:30p,Houston Rockets,100,Los Angeles Clippers,106,Box Score,,19370.0,Crypto.com Arena,In-Season Tournament,20231117,LAC,HOU,LAC,HOU
"Sat, Nov 18, 2023",6:00p,New York Knicks,122,Charlotte Hornets,108,Box Score,,19171.0,Spectrum Center,,20231118,CHO,NYK,CHO,NYK
"Sat, Nov 18, 2023",7:00p,Minnesota Timberwolves,121,New Orleans Pelicans,120,Box Score,,15536.0,Smoothie King Center,,20231118,NOP,MIN,NOP,MIN
"Sat, Nov 18, 2023",8:00p,Miami Heat,97,Chicago Bulls,102,Box Score,,18063.0,United Center,,20231118,CHI,MIA,CHI,MIA
"Sat, Nov 18, 2023",8:00p,Dallas Mavericks,125,Milwaukee Bucks,132,Box Score,,18128.0,Fiserv Forum,,20231118,MIL,DAL,MIL,DAL
"Sat, Nov 18, 2023",8:00p,Memphis Grizzlies,120,San Antonio Spurs,108,Box Score,,18354.0,Frost Bank Center,,20231118,SAS,MEM,SAS,MEM
"Sat, Nov 18, 2023",8:30p,Oklahoma City Thunder,130,Golden State Warriors,123,Box Score,OT,18064.0,Chase Center,,20231118,GSW,OKC,GSW,OKC
"Sun, Nov 19, 2023",3:00p,Philadelphia 76ers,121,Brooklyn Nets,99,Box Score,,17934.0,Barclays Center,,20231119,BRK,PHI,BRK,PHI
"Sun, Nov 19, 2023",4:00p,Detroit Pistons,113,Toronto Raptors,142,Box Score,,19182.0,Scotiabank Arena,,20231119,TOR,DET,TOR,DET
"Sun, Nov 19, 2023",5:00p,Orlando Magic,128,Indiana Pacers,116,Box Score,,17276.0,Gainbridge Fieldhouse,,20231119,IND,ORL,IND,ORL
"Sun, Nov 19, 2023",6:00p,Denver Nuggets,109,Cleveland Cavaliers,121,Box Score,,19432.0,Rocket Mortgage Fieldhouse,,20231119,CLE,DEN,CLE,DEN
"Sun, Nov 19, 2023",7:30p,Sacramento Kings,129,Dallas Mavericks,113,Box Score,,20211.0,American Airlines Center,,20231119,DAL,SAC,DAL,SAC
"Sun, Nov 19, 2023",8:00p,Boston Celtics,102,Memphis Grizzlies,100,Box Score,,17798.0,FedEx Forum,,20231119,MEM,BOS,MEM,BOS
"Sun, Nov 19, 2023",8:00p,Phoenix Suns,140,Utah Jazz,137,Box Score,2OT,18206.0,Delta Center,,20231119,UTA,PHO,UTA,PHO
"Sun, Nov 19, 2023",9:00p,Oklahoma City Thunder,134,Portland Trail Blazers,91,Box Score,,18235.0,Moda Center,,20231119,POR,OKC,POR,OKC
"Sun, Nov 19, 2023",9:30p,Houston Rockets,104,Los Angeles Lakers,105,Box Score,,18997.0,Crypto.com Arena,,20231119,LAL,HOU,LAL,HOU
"Mon, Nov 20, 2023",7:00p,Boston Celtics,118,Charlotte Hornets,121,Box Score,OT,19134.0,Spectrum Center,,20231120,CHO,BOS,CHO,BOS
"Mon, Nov 20, 2023",7:00p,Denver Nuggets,107,Detroit Pistons,103,Box Score,,19403.0,Little Caesars Arena,,20231120,DET,DEN,DET,DEN
"Mon, Nov 20, 2023",7:00p,Milwaukee Bucks,142,Washington Wizards,129,Box Score,,17746.0,Capital One Arena,,20231120,WAS,MIL,WAS,MIL
"Mon, Nov 20, 2023",8:00p,Miami Heat,118,Chicago Bulls,100,Box Score,,19258.0,United Center,,20231120,CHI,MIA,CHI,MIA
"Mon, Nov 20, 2023",8:00p,New York Knicks,100,Minnesota Timberwolves,117,Box Score,,18024.0,Target Center,,20231120,MIN,NYK,MIN,NYK
"Mon, Nov 20, 2023",8:00p,Sacramento Kings,93,New Orleans Pelicans,129,Box Score,,16004.0,Smoothie King Center,,20231120,NOP,SAC,NOP,SAC
"Mon, Nov 20, 2023",8:00p,Los Angeles Clippers,124,San Antonio Spurs,99,Box Score,,18354.0,Frost Bank Center,,20231120,SAS,LAC,SAS,LAC
"Mon, Nov 20, 2023",10:00p,Houston Rockets,116,Golden State Warriors,121,Box Score,,18064.0,Chase Center,,20231120,GSW,HOU,GSW,HOU
"Tue, Nov 21, 2023",7:00p,Toronto Raptors,107,Orlando Magic,126,Box Score,,18846.0,Kia Center,In-Season Tournament,20231121,ORL,TOR,ORL,TOR
"Tue, Nov 21, 2023",7:30p,Indiana Pacers,157,Atlanta Hawks,152,Box Score,,17162.0,State Farm Arena,In-Season Tournament,20231121,ATL,IND,ATL,IND
"Tue, Nov 21, 2023",7:30p,Cleveland Cavaliers,122,Philadelphia 76ers,119,Box Score,OT,20565.0,Wells Fargo Center,In-Season Tournament,20231121,PHI,CLE,PHI,CLE
"Tue, Nov 21, 2023",9:00p,Portland Trail Blazers,107,Phoenix Suns,120,Box Score,,17071.0,Footprint Center,In-Season Tournament,20231121,PHO,POR,PHO,POR
"Tue, Nov 21, 2023",10:00p,Utah Jazz,99,Los Angeles Lakers,131,Box Score,,18997.0,Crypto.com Arena,In-Season Tournament,20231121,LAL,UTA,LAL,UTA
"Wed, Nov 22, 2023",7:00p,Washington Wizards,114,Charlotte Hornets,117,Box Score,,16432.0,Spectrum Center,,20231122,CHO,WAS,CHO,WAS
"Wed, Nov 22, 2023",7:00p,Denver Nuggets,119,Orlando Magic,124,Box Score,,18237.0,Kia Center,,20231122,ORL,DEN,ORL,DEN
"Wed, Nov 22, 2023",7:30p,Brooklyn Nets,145,Atlanta Hawks,147,Box Score,OT,17340.0,State Farm Arena,,20231122,ATL,BRK,ATL,BRK
"Wed, Nov 22, 2023",7:30p,Milwaukee Bucks,116,Boston Celtics,119,Box Score,,19156.0,TD Garden,,20231122,BOS,MIL,BOS,MIL
"Wed, Nov 22, 2023",7:30p,Miami Heat,129,Cleveland Cavaliers,96,Box Score,,19432.0,Rocket Mortgage Fieldhouse,,20231122,CLE,MIA,CLE,MIA
"Wed, Nov 22, 2023",7:30p,Toronto Raptors,132,Indiana Pacers,131,Box Score,,17091.0,Gainbridge Fieldhouse,,20231122,IND,TOR,IND,TOR
"Wed, Nov 22, 2023",8:00p,Memphis Grizzlies,91,Houston Rockets,111,Box Score,,18055.0,Toyota Center,,20231122,HOU,MEM,HOU,MEM
"Wed, Nov 22, 2023",8:00p,Philadelphia 76ers,99,Minnesota Timberwolves,112,Box Score,,18024.0,Target Center,,20231122,MIN,PHI,MIN,PHI
"Wed, Nov 22, 2023",8:00p,Sacramento Kings,112,New Orleans Pelicans,117,Box Score,,16012.0,Smoothie King Center,,20231122,NOP,SAC,NOP,SAC
"Wed, Nov 22, 2023",8:00p,Chicago Bulls,102,Oklahoma City Thunder,116,Box Score,,18203.0,Paycom Center,,20231122,OKC,CHI,OKC,CHI
"Wed, Nov 22, 2023",8:00p,Los Angeles Clippers,109,San Antonio Spurs,102,Box Score,,18354.0,Frost Bank Center,,20231122,SAS,LAC,SAS,LAC
"Wed, Nov 22, 2023",10:00p,Golden State Warriors,115,Phoenix Suns,123,Box Score,,17071.0,Footprint Center,,20231122,PHO,GSW,PHO,GSW
"Wed, Nov 22, 2023",10:00p,Utah Jazz,105,Portland Trail Blazers,121,Box Score,,17819.0,Moda Center,,20231122,POR,UTA,POR,UTA
"Wed, Nov 22, 2023",10:30p,Dallas Mavericks,104,Los Angeles Lakers,101,Box Score,,18997.0,Crypto.com Arena,,20231122,LAL,DAL,LAL,DAL
"Fri, Nov 24, 2023",2:30p,Boston Celtics,96,Orlando Magic,113,Box Score,,18846.0,Kia Center,In-Season Tournament,20231124,ORL,BOS,ORL,BOS
"Fri, Nov 24, 2023",5:00p,Phoenix Suns,110,Memphis Grizzlies,89,Box Score,,17794.0,FedEx Forum,In-Season Tournament,20231124,MEM,PHO,MEM,PHO
"Fri, Nov 24, 2023",7:30p,Miami Heat,98,New York Knicks,100,Box Score,,19812.0,Madison Square Garden (IV),In-Season Tournament,20231124,NYK,MIA,NYK,MIA
"Fri, Nov 24, 2023",7:30p,Chicago Bulls,108,Toronto Raptors,121,Box Score,,19800.0,Scotiabank Arena,In-Season Tournament,20231124,TOR,CHI,TOR,CHI
"Fri, Nov 24, 2023",8:00p,Denver Nuggets,86,Houston Rockets,105,Box Score,,18055.0,Toyota Center,In-Season Tournament,20231124,HOU,DEN,HOU,DEN
"Fri, Nov 24, 2023",8:00p,Detroit Pistons,113,Indiana Pacers,136,Box Score,,17274.0,Gainbridge Fieldhouse,In-Season Tournament,20231124,IND,DET,IND,DET
"Fri, Nov 24, 2023",8:00p,Washington Wizards,128,Milwaukee Bucks,131,Box Score,,17880.0,Fiserv Forum,In-Season Tournament,20231124,MIL,WAS,MIL,WAS
"Fri, Nov 24, 2023",8:00p,Sacramento Kings,124,Minnesota Timberwolves,111,Box Score,,18024.0,Target Center,In-Season Tournament,20231124,MIN,SAC,MIN,SAC
"Fri, Nov 24, 2023",10:00p,San Antonio Spurs,112,Golden State Warriors,118,Box Score,,18064.0,Chase Center,In-Season Tournament,20231124,GSW,SAS,GSW,SAS
"Fri, Nov 24, 2023",10:30p,New Orleans Pelicans,116,Los Angeles Clippers,106,Box Score,,19370.0,Crypto.com Arena,In-Season Tournament,20231124,LAC,NOP,LAC,NOP
"Sat, Nov 25, 2023",5:00p,Philadelphia 76ers,127,Oklahoma City Thunder,123,Box Score,,17125.0,Paycom Center,,20231125,OKC,PHI,OKC,PHI
"Sat, Nov 25, 2023",6:00p,Miami Heat,97,Brooklyn Nets,112,Box Score,,17817.0,Barclays Center,,20231125,BRK,MIA,BRK,MIA
"Sat, Nov 25, 2023",7:00p,Atlanta Hawks,136,Washington Wizards,108,Box Score,,16276.0,Capital One Arena,,20231125,WAS,ATL,WAS,ATL
"Sat, Nov 25, 2023",7:30p,Los Angeles Lakers,121,Cleveland Cavaliers,115,Box Score,,19432.0,Rocket Mortgage Fieldhouse,,20231125,CLE,LAL,CLE,LAL
"Sat, Nov 25, 2023",9:30p,New Orleans Pelicans,100,Utah Jazz,105,Box Score,,18206.0,Delta Center,,20231125,UTA,NOP,UTA,NOP
"Sat, Nov 25, 2023",10:30p,Dallas Mavericks,88,Los Angeles Clippers,107,Box Score,,19370.0,Crypto.com Arena,,20231125,LAC,DAL,LAC,DAL
"Sun, Nov 26, 2023",3:30p,Portland Trail Blazers,102,Milwaukee Bucks,108,Box Score,,17602.0,Fiserv Forum,,20231126,MIL,POR,MIL,POR
"Sun, Nov 26, 2023",6:00p,Atlanta Hawks,103,Boston Celtics,113,Box Score,,19156.0,TD Garden,,20231126,BOS,ATL,BOS,ATL
"Sun, Nov 26, 2023",6:00p,Minnesota Timberwolves,119,Memphis Grizzlies,97,Box Score,,15764.0,FedEx Forum,,20231126,MEM,MIN,MEM,MIN
"Sun, Nov 26, 2023",6:00p,Phoenix Suns,116,New York Knicks,113,Box Score,,19812.0,Madison Square Garden (IV),,20231126,NYK,PHO,NYK,PHO
"Sun, Nov 26, 2023",6:00p,Charlotte Hornets,117,Orlando Magic,130,Box Score,,18846.0,Kia Center,,20231126,ORL,CHO,ORL,CHO
"Sun, Nov 26, 2023",7:30p,Chicago Bulls,109,Brooklyn Nets,118,Box Score,,16687.0,Barclays Center,,20231126,BRK,CHI,BRK,CHI
"Sun, Nov 26, 2023",7:30p,Toronto Raptors,102,Cleveland Cavaliers,105,Box Score,,19432.0,Rocket Mortgage Fieldhouse,,20231126,CLE,TOR,CLE,TOR
"Sun, Nov 26, 2023",8:00p,San Antonio Spurs,120,Denver Nuggets,132,Box Score,,19665.0,Ball Arena,,20231126,DEN,SAS,DEN,SAS
"Mon, Nov 27, 2023",7:00p,Washington Wizards,126,Detroit Pistons,107,Box Score,,14346.0,Little Caesars Arena,,20231127,DET,WAS,DET,WAS
"Mon, Nov 27, 2023",7:00p,Portland Trail Blazers,114,Indiana Pacers,110,Box Score,,14508.0,Gainbridge Fieldhouse,,20231127,IND,POR,IND,POR
"Mon, Nov 27, 2023",7:00p,Los Angeles Lakers,94,Philadelphia 76ers,138,Box Score,,19907.0,Wells Fargo Center,,20231127,PHI,LAL,PHI,LAL
"Mon, Nov 27, 2023",9:00p,New Orleans Pelicans,112,Utah Jazz,114,Box Score,,18206.0,Delta Center,,20231127,UTA,NOP,UTA,NOP
"Mon, Nov 27, 2023",10:30p,Denver Nuggets,113,Los Angeles Clippers,104,Box Score,,17071.0,Crypto.com Arena,,20231127,LAC,DEN,LAC,DEN
"Tue, Nov 28, 2023",7:30p,Chicago Bulls,97,Boston Celtics,124,Box Score,,19156.0,TD Garden,In-Season Tournament,20231128,BOS,CHI,BOS,CHI
"Tue, Nov 28, 2023",7:30p,Toronto Raptors,103,Brooklyn Nets,115,Box Score,,15844.0,Barclays Center,In-Season Tournament,20231128,BRK,TOR,BRK,TOR
"Tue, Nov 28, 2023",7:30p,Atlanta Hawks,105,Cleveland Cavaliers,128,Box Score,,19432.0,Rocket Mortgage Fieldhouse,In-Season Tournament,20231128,CLE,ATL,CLE,ATL
"Tue, Nov 28, 2023",7:30p,Milwaukee Bucks,131,Miami Heat,124,Box Score,,19691.0,Kaseya Center,In-Season Tournament,20231128,MIA,MIL,MIA,MIL
"Tue, Nov 28, 2023",7:30p,Charlotte Hornets,91,New York Knicks,115,Box Score,,19111.0,Madison Square Garden (IV),In-Season Tournament,20231128,NYK,CHO,NYK,CHO
"Tue, Nov 28, 2023",8:00p,Oklahoma City Thunder,103,Minnesota Timberwolves,106,Box Score,,18024.0,Target Center,In-Season Tournament,20231128,MIN,OKC,MIN,OKC
"Tue, Nov 28, 2023",8:30p,Houston Rockets,115,Dallas Mavericks,121,Box Score,,20103.0,American Airlines Center,In-Season Tournament,20231128,DAL,HOU,DAL,HOU
"Tue, Nov 28, 2023",10:00p,Golden State Warriors,123,Sacramento Kings,124,Box Score,,18039.0,Golden 1 Center,In-Season Tournament,20231128,SAC,GSW,SAC,GSW
"Wed, Nov 29, 2023",7:00p,Los Angeles Lakers,133,Detroit Pistons,107,Box Score,,20062.0,Little Caesars Arena,,20231129,DET,LAL,DET,LAL
"Wed, Nov 29, 2023",7:00p,Washington Wizards,120,Orlando Magic,139,Box Score,,17109.0,Kia Center,,20231129,ORL,WAS,ORL,WAS
"Wed, Nov 29, 2023",7:30p,Phoenix Suns,105,Toronto Raptors,112,Box Score,,19800.0,Scotiabank Arena,,20231129,TOR,PHO,TOR,PHO
"Wed, Nov 29, 2023",8:00p,Utah Jazz,91,Memphis Grizzlies,105,Box Score,,15327.0,FedEx Forum,,20231129,MEM,UTA,MEM,UTA
"Wed, Nov 29, 2023",8:00p,Philadelphia 76ers,114,New Orleans Pelicans,124,Box Score,,16009.0,Smoothie King Center,,20231129,NOP,PHI,NOP,PHI
"Wed, Nov 29, 2023",9:00p,Houston Rockets,124,Denver Nuggets,134,Box Score,,19590.0,Ball Arena,,20231129,DEN,HOU,DEN,HOU
"Wed, Nov 29, 2023",10:00p,Los Angeles Clippers,131,Sacramento Kings,117,Box Score,,17829.0,Golden 1 Center,,20231129,SAC,LAC,SAC,LAC
"Thu, Nov 30, 2023",7:00p,Portland Trail Blazers,103,Cleveland Cavaliers,95,Box Score,,19432.0,Rocket Mortgage Fieldhouse,,20231130,CLE,POR,CLE,POR
"Thu, Nov 30, 2023",7:30p,Charlotte Hornets,129,Brooklyn Nets,128,Box Score,,16072.0,Barclays Center,,20231130,BRK,CHO,BRK,CHO
"Thu, Nov 30, 2023",7:30p,Indiana Pacers,132,Miami Heat,142,Box Score,,19604.0,Kaseya Center,,20231130,MIA,IND,MIA,IND
"Thu, Nov 30, 2023",7:30p,Detroit Pistons,112,New York Knicks,118,Box Score,,19812.0,Madison Square Garden (IV),,20231130,NYK,DET,NYK,DET
"Thu, Nov 30, 2023",8:00p,Milwaukee Bucks,113,Chicago Bulls,120,Box Score,OT,19838.0,United Center,,20231130,CHI,MIL,CHI,MIL
"Thu, Nov 30, 2023",8:00p,Utah Jazz,90,Minnesota Timberwolves,101,Box Score,,18024.0,Target Center,,20231130,MIN,UTA,MIN,UTA
"Thu, Nov 30, 2023",8:00p,Los Angeles Lakers,110,Oklahoma City Thunder,133,Box Score,,17401.0,Paycom Center,,20231130,OKC,LAL,OKC,LAL
"Thu, Nov 30, 2023",8:00p,Atlanta Hawks,137,San Antonio Spurs,135,Box Score,,17646.0,Frost Bank Center,,20231130,SAS,ATL,SAS,ATL
"Thu, Nov 30, 2023",10:00p,Los Angeles Clippers,114,Golden State Warriors,120,Box Score,,18064.0,Chase Center,,20231130,GSW,LAC,GSW,LAC
"Fri, Dec 1, 2023",7:00p,Washington Wizards,125,Orlando Magic,130,Box Score,,18846.0,Kia Center,,20231201,ORL,WAS,ORL,WAS
"Fri, Dec 1, 2023",7:30p,Philadelphia 76ers,119,Boston Celtics,125,Box Score,,19156.0,TD Garden,,20231201,BOS,PHI,BOS,PHI
"Fri, Dec 1, 2023",7:30p,Memphis Grizzlies,108,Dallas Mavericks,94,Box Score,,20150.0,American Airlines Center,,20231201,DAL,MEM,DAL,MEM
"Fri, Dec 1, 2023",7:30p,New York Knicks,119,Toronto Raptors,106,Box Score,,19800.0,Scotiabank Arena,,20231201,TOR,NYK,TOR,NYK
"Fri, Dec 1, 2023",8:00p,San Antonio Spurs,106,New Orleans Pelicans,121,Box Score,,17028.0,Smoothie King Center,,20231201,NOP,SAS,NOP,SAS
"Fri, Dec 1, 2023",10:00p,Denver Nuggets,119,Phoenix Suns,111,Box Score,,17071.0,Footprint Center,,20231201,PHO,DEN,PHO,DEN
"Sat, Dec 2, 2023",4:00p,Golden State Warriors,112,Los Angeles Clippers,113,Box Score,,19370.0,Crypto.com Arena,,20231202,LAC,GSW,LAC,GSW
"Sat, Dec 2, 2023",5:00p,Minnesota Timberwolves,123,Charlotte Hornets,117,Box Score,,17731.0,Spectrum Center,,20231202,CHO,MIN,CHO,MIN
"Sat, Dec 2, 2023",7:00p,Orlando Magic,101,Brooklyn Nets,129,Box Score,,17966.0,Barclays Center,,20231202,BRK,ORL,BRK,ORL
"Sat, Dec 2, 2023",7:00p,Cleveland Cavaliers,110,Detroit Pistons,101,Box Score,,18924.0,Little Caesars Arena,,20231202,DET,CLE,DET,CLE
"Sat, Dec 2, 2023",8:00p,New Orleans Pelicans,118,Chicago Bulls,124,Box Score,,20511.0,United Center,,20231202,CHI,NOP,CHI,NOP
"Sat, Dec 2, 2023",8:00p,Indiana Pacers,144,Miami Heat,129,Box Score,,19650.0,Kaseya Center,,20231202,MIA,IND,MIA,IND
"Sat, Dec 2, 2023",8:00p,Atlanta Hawks,121,Milwaukee Bucks,132,Box Score,,17866.0,Fiserv Forum,,20231202,MIL,ATL,MIL,ATL
"Sat, Dec 2, 2023",9:00p,Oklahoma City Thunder,126,Dallas Mavericks,120,Box Score,,20277.0,American Airlines Center,,20231202,DAL,OKC,DAL,OKC
"Sat, Dec 2, 2023",9:00p,Memphis Grizzlies,109,Phoenix Suns,116,Box Score,,17071.0,Footprint Center,,20231202,PHO,MEM,PHO,MEM
"Sat, Dec 2, 2023",9:30p,Portland Trail Blazers,113,Utah Jazz,118,Box Score,OT,18206.0,Delta Center,,20231202,UTA,POR,UTA,POR
"Sat, Dec 2, 2023",10:00p,Denver Nuggets,117,Sacramento Kings,123,Box Score,,17829.0,Golden 1 Center,,20231202,SAC,DEN,SAC,DEN
"Sat, Dec 2, 2023",10:30p,Houston Rockets,97,Los Angeles Lakers,107,Box Score,,18997.0,Crypto.com Arena,,20231202,LAL,HOU,LAL,HOU
"Mon, Dec 4, 2023",7:30p,Boston Celtics,112,Indiana Pacers,122,Box Score,,16693.0,Gainbridge Fieldhouse,In-Season Tournament,20231204,IND,BOS,IND,BOS
"Mon, Dec 4, 2023",10:00p,New Orleans Pelicans,127,Sacramento Kings,117,Box Score,,18048.0,Golden 1 Center,In-Season Tournament,20231204,SAC,NOP,SAC,NOP
"Tue, Dec 5, 2023",7:30p,New York Knicks,122,Milwaukee Bucks,146,Box Score,,17448.0,Fiserv Forum,In-Season Tournament,20231205,MIL,NYK,MIL,NYK
"Tue, Dec 5, 2023",10:00p,Phoenix Suns,103,Los Angeles Lakers,106,Box Score,,18664.0,Crypto.com Arena,In-Season Tournament,20231205,LAL,PHO,LAL,PHO
"Wed, Dec 6, 2023",7:00p,Orlando Magic,111,Cleveland Cavaliers,121,Box Score,,19432.0,Rocket Mortgage Fieldhouse,,20231206,CLE,ORL,CLE,ORL
"Wed, Dec 6, 2023",7:00p,Memphis Grizzlies,116,Detroit Pistons,102,Box Score,,12862.0,Little Caesars Arena,,20231206,DET,MEM,DET,MEM
"Wed, Dec 6, 2023",7:00p,Philadelphia 76ers,131,Washington Wizards,126,Box Score,,15568.0,Capital One Arena,,20231206,WAS,PHI,WAS,PHI
"Wed, Dec 6, 2023",7:30p,Brooklyn Nets,114,Atlanta Hawks,113,Box Score,,15906.0,State Farm Arena,,20231206,ATL,BRK,ATL,BRK
"Wed, Dec 6, 2023",7:30p,San Antonio Spurs,94,Minnesota Timberwolves,102,Box Score,,18024.0,Target Center,,20231206,MIN,SAS,MIN,SAS
"Wed, Dec 6, 2023",7:30p,Miami Heat,112,Toronto Raptors,103,Box Score,,19084.0,Scotiabank Arena,,20231206,TOR,MIA,TOR,MIA
"Wed, Dec 6, 2023",8:00p,Charlotte Hornets,100,Chicago Bulls,111,Box Score,,17689.0,United Center,,20231206,CHI,CHO,CHI,CHO
"Wed, Dec 6, 2023",8:00p,Oklahoma City Thunder,101,Houston Rockets,110,Box Score,,16291.0,Toyota Center,,20231206,HOU,OKC,HOU,OKC
"Wed, Dec 6, 2023",8:30p,Utah Jazz,97,Dallas Mavericks,147,Box Score,,19877.0,American Airlines Center,,20231206,DAL,UTA,DAL,UTA
"Wed, Dec 6, 2023",10:00p,Portland Trail Blazers,106,Golden State Warriors,110,Box Score,,18064.0,Chase Center,,20231206,GSW,POR,GSW,POR
"Wed, Dec 6, 2023",10:00p,Denver Nuggets,102,Los Angeles Clippers,111,Box Score,,16365.0,Crypto.com Arena,,20231206,LAC,DEN,LAC,DEN
"Thu, Dec 7, 2023",5:00p,Indiana Pacers,128,Milwaukee Bucks,119,Box Score,,16837.0,T-Mobile Arena,In-Season Tournament,20231207,MIL,IND,MIL,IND
"Thu, Dec 7, 2023",9:00p,New Orleans Pelicans,89,Los Angeles Lakers,133,Box Score,,18017.0,T-Mobile Arena,In-Season Tournament,20231207,LAL,NOP,LAL,NOP
"Fri, Dec 8, 2023",7:00p,Toronto Raptors,116,Charlotte Hornets,119,Box Score,,11526.0,Spectrum Center,,20231208,CHO,TOR,CHO,TOR
"Fri, Dec 8, 2023",7:00p,Detroit Pistons,91,Orlando Magic,123,Box Score,,18655.0,Kia Center,,20231208,ORL,DET,ORL,DET
"Fri, Dec 8, 2023",7:00p,Atlanta Hawks,114,Philadelphia 76ers,125,Box Score,,19746.0,Wells Fargo Center,,20231208,PHI,ATL,PHI,ATL
"Fri, Dec 8, 2023",7:30p,New York Knicks,123,Boston Celtics,133,Box Score,,19156.0,TD Garden,,20231208,BOS,NYK,BOS,NYK
"Fri, Dec 8, 2023",7:30p,Washington Wizards,97,Brooklyn Nets,124,Box Score,,16587.0,Barclays Center,,20231208,BRK,WAS,BRK,WAS
"Fri, Dec 8, 2023",8:00p,Minnesota Timberwolves,127,Memphis Grizzlies,103,Box Score,,15577.0,FedEx Forum,,20231208,MEM,MIN,MEM,MIN
