Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS.1,Unnamed: 6,Unnamed: 7,Attend.,Arena,Notes,f_Date,Home_s,Visitor_s,Home_abbr,Away_abbr
"Sat, Oct 28, 2023",7:30p,Philadelphia 76ers,114,Toronto Raptors,107,Box Score,,19800.0,Scotiabank Arena,,20231028,TOR,PHI,TOR,PHI
"Sat, Oct 28, 2023",8:00p,Miami Heat,90,Minnesota Timberwolves,106,Box Score,,18024.0,Target Center,,20231028,MIN,MIA,MIN,MIA
"Sat, Oct 28, 2023",10:00p,Utah Jazz,104,Phoenix Suns,126,Box Score,,17071.0,Footprint Center,,20231028,PHO,UTA,PHO,UTA
"Sun, Oct 29, 2023",3:30p,Denver Nuggets,128,Oklahoma City Thunder,95,Box Score,,18203.0,Paycom Center,,20231029,OKC,DEN,OKC,DEN
"Sun, Oct 29, 2023",7:00p,Golden State Warriors,106,Houston Rockets,95,Box Score,,18055.0,Toyota Center,,20231029,HOU,GSW,HOU,GSW
"Sun, Oct 29, 2023",7:00p,Atlanta Hawks,127,Milwaukee Bucks,110,Box Score,,17341.0,Fiserv Forum,,20231029,MIL,ATL,MIL,ATL
"Sun, Oct 29, 2023",7:30p,Portland Trail Blazers,98,Philadelphia 76ers,126,Box Score,,19768.0,Wells Fargo Center,,20231029,PHI,POR,PHI,POR
"Sun, Oct 29, 2023",9:00p,San Antonio Spurs,83,Los Angeles Clippers,123,Box Score,,19370.0,Crypto.com Arena,,20231029,LAC,SAS,LAC,SAS
"Sun, Oct 29, 2023",9:00p,Los Angeles Lakers,127,Sacramento Kings,132,Box Score,OT,18198.0,Golden 1 Center,,20231029,SAC,LAL,SAC,LAL
"Mon, Oct 30, 2023",7:00p,Chicago Bulls,112,Indiana Pacers,105,Box Score,,15021.0,Gainbridge Fieldhouse,,20231030,IND,CHI,IND,CHI
"Mon, Oct 30, 2023",7:00p,Boston Celtics,126,Washington Wizards,107,Box Score,,17898.0,Capital One Arena,,20231030,WAS,BOS,WAS,BOS
"Mon, Oct 30, 2023",7:00p,Brooklyn Nets,133,Charlotte Hornets,121,Box Score,,14491.0,Spectrum Center,,20231030,CHO,BRK,CHO,BRK
"Mon, Oct 30, 2023",7:30p,Portland Trail Blazers,99,Toronto Raptors,91,Box Score,,19266.0,Scotiabank Arena,,20231030,TOR,POR,TOR,POR
"Mon, Oct 30, 2023",7:30p,Minnesota Timberwolves,113,Atlanta Hawks,127,Box Score,,15504.0,State Farm Arena,,20231030,ATL,MIN,ATL,MIN
"Mon, Oct 30, 2023",8:00p,Dallas Mavericks,125,Memphis Grizzlies,110,Box Score,,15031.0,FedEx Forum,,20231030,MEM,DAL,MEM,DAL
"Mon, Oct 30, 2023",8:00p,Miami Heat,114,Milwaukee Bucks,122,Box Score,,17341.0,Fiserv Forum,,20231030,MIL,MIA,MIL,MIA
"Mon, Oct 30, 2023",8:00p,Golden State Warriors,130,New Orleans Pelicans,102,Box Score,,17286.0,Smoothie King Center,,20231030,NOP,GSW,NOP,GSW
"Mon, Oct 30, 2023",8:00p,Detroit Pistons,112,Oklahoma City Thunder,124,Box Score,,16127.0,Paycom Center,,20231030,OKC,DET,OKC,DET
"Mon, Oct 30, 2023",9:00p,Utah Jazz,102,Denver Nuggets,110,Box Score,,19671.0,Ball Arena,,20231030,DEN,UTA,DEN,UTA
"Mon, Oct 30, 2023",10:30p,Orlando Magic,103,Los Angeles Lakers,106,Box Score,,18997.0,Crypto.com Arena,,20231030,LAL,ORL,LAL,ORL
"Tue, Oct 31, 2023",7:30p,New York Knicks,109,Cleveland Cavaliers,91,Box Score,,19432.0,Rocket Mortgage Fieldhouse,,20231031,CLE,NYK,CLE,NYK
"Tue, Oct 31, 2023",10:00p,San Antonio Spurs,115,Phoenix Suns,114,Box Score,,17071.0,Footprint Center,,20231031,PHO,SAS,PHO,SAS
"Tue, Oct 31, 2023",10:30p,Orlando Magic,102,Los Angeles Clippers,118,Box Score,,14014.0,Crypto.com Arena,,20231031,LAC,ORL,LAC,ORL
"Wed, Nov 1, 2023",7:00p,Portland Trail Blazers,110,Detroit Pistons,101,Box Score,,16912.0,Little Caesars Arena,,20231101,DET,POR,DET,POR
"Wed, Nov 1, 2023",7:00p,Milwaukee Bucks,111,Toronto Raptors,130,Box Score,,19800.0,Scotiabank Arena,,20231101,TOR,MIL,TOR,MIL
"Wed, Nov 1, 2023",7:30p,Washington Wizards,121,Atlanta Hawks,130,Box Score,,15925.0,State Farm Arena,,20231101,ATL,WAS,ATL,WAS
"Wed, Nov 1, 2023",7:30p,Indiana Pacers,104,Boston Celtics,155,Box Score,,19156.0,TD Garden,,20231101,BOS,IND,BOS,IND
"Wed, Nov 1, 2023",7:30p,Brooklyn Nets,109,Miami Heat,105,Box Score,,19600.0,Kaseya Center,,20231101,MIA,BRK,MIA,BRK
"Wed, Nov 1, 2023",7:30p,Cleveland Cavaliers,95,New York Knicks,89,Box Score,,19812.0,Madison Square Garden (IV),,20231101,NYK,CLE,NYK,CLE
"Wed, Nov 1, 2023",7:30p,New Orleans Pelicans,110,Oklahoma City Thunder,106,Box Score,,15764.0,Paycom Center,,20231101,OKC,NOP,OKC,NOP
"Wed, Nov 1, 2023",8:00p,Charlotte Hornets,119,Houston Rockets,128,Box Score,,16263.0,Toyota Center,,20231101,HOU,CHO,HOU,CHO
"Wed, Nov 1, 2023",8:00p,Denver Nuggets,89,Minnesota Timberwolves,110,Box Score,,18024.0,Target Center,,20231101,MIN,DEN,MIN,DEN
"Wed, Nov 1, 2023",8:30p,Chicago Bulls,105,Dallas Mavericks,114,Box Score,,20103.0,American Airlines Center,,20231101,DAL,CHI,DAL,CHI
"Wed, Nov 1, 2023",9:00p,Memphis Grizzlies,109,Utah Jazz,133,Box Score,,18206.0,Delta Center,,20231101,UTA,MEM,UTA,MEM
"Wed, Nov 1, 2023",10:00p,Sacramento Kings,101,Golden State Warriors,102,Box Score,,18064.0,Chase Center,,20231101,GSW,SAC,GSW,SAC
"Wed, Nov 1, 2023",10:00p,Los Angeles Clippers,125,Los Angeles Lakers,130,Box Score,OT,18997.0,Crypto.com Arena,,20231101,LAL,LAC,LAL,LAC
"Thu, Nov 2, 2023",7:00p,Toronto Raptors,99,Philadelphia 76ers,114,Box Score,,19773.0,Wells Fargo Center,,20231102,PHI,TOR,PHI,TOR
"Thu, Nov 2, 2023",8:00p,Detroit Pistons,116,New Orleans Pelicans,125,Box Score,,15884.0,Smoothie King Center,,20231102,NOP,DET,NOP,DET
"Thu, Nov 2, 2023",9:00p,Orlando Magic,115,Utah Jazz,113,Box Score,,18206.0,Delta Center,,20231102,UTA,ORL,UTA,ORL
"Thu, Nov 2, 2023",10:00p,San Antonio Spurs,132,Phoenix Suns,121,Box Score,,17071.0,Footprint Center,,20231102,PHO,SAS,PHO,SAS
"Fri, Nov 3, 2023",7:00p,Cleveland Cavaliers,116,Indiana Pacers,121,Box Score,,16744.0,Gainbridge Fieldhouse,In-Season Tournament,20231103,IND,CLE,IND,CLE
"Fri, Nov 3, 2023",7:30p,New York Knicks,105,Milwaukee Bucks,110,Box Score,,17717.0,Fiserv Forum,In-Season Tournament,20231103,MIL,NYK,MIL,NYK
"Fri, Nov 3, 2023",8:00p,Brooklyn Nets,109,Chicago Bulls,107,Box Score,,20645.0,United Center,In-Season Tournament,20231103,CHI,BRK,CHI,BRK
"Fri, Nov 3, 2023",8:00p,Washington Wizards,114,Miami Heat,121,Box Score,,19660.0,Kaseya Center,In-Season Tournament,20231103,MIA,WAS,MIA,WAS
"Fri, Nov 3, 2023",8:00p,Golden State Warriors,141,Oklahoma City Thunder,139,Box Score,,16827.0,Paycom Center,In-Season Tournament,20231103,OKC,GSW,OKC,GSW
"Fri, Nov 3, 2023",10:00p,Dallas Mavericks,114,Denver Nuggets,125,Box Score,,19729.0,Ball Arena,In-Season Tournament,20231103,DEN,DAL,DEN,DAL
"Fri, Nov 3, 2023",10:00p,Memphis Grizzlies,113,Portland Trail Blazers,115,Box Score,OT,18592.0,Moda Center,In-Season Tournament,20231103,POR,MEM,POR,MEM
"Sat, Nov 4, 2023",1:00p,Phoenix Suns,100,Philadelphia 76ers,112,Box Score,,19796.0,Wells Fargo Center,,20231104,PHI,PHO,PHI,PHO
"Sat, Nov 4, 2023",7:00p,Charlotte Hornets,125,Indiana Pacers,124,Box Score,,15945.0,Gainbridge Fieldhouse,,20231104,IND,CHO,IND,CHO
"Sat, Nov 4, 2023",7:00p,Atlanta Hawks,123,New Orleans Pelicans,105,Box Score,,17237.0,Smoothie King Center,,20231104,NOP,ATL,NOP,ATL
"Sat, Nov 4, 2023",7:00p,Los Angeles Lakers,101,Orlando Magic,120,Box Score,,18846.0,Kia Center,,20231104,ORL,LAL,ORL,LAL
"Sat, Nov 4, 2023",8:00p,Boston Celtics,124,Brooklyn Nets,114,Box Score,,17983.0,Barclays Center,,20231104,BRK,BOS,BRK,BOS
"Sat, Nov 4, 2023",8:00p,Sacramento Kings,89,Houston Rockets,107,Box Score,,18055.0,Toyota Center,,20231104,HOU,SAC,HOU,SAC
"Sat, Nov 4, 2023",8:00p,Utah Jazz,95,Minnesota Timberwolves,123,Box Score,,18024.0,Target Center,,20231104,MIN,UTA,MIN,UTA
"Sat, Nov 4, 2023",9:00p,Chicago Bulls,101,Denver Nuggets,123,Box Score,,19610.0,Ball Arena,,20231104,DEN,CHI,DEN,CHI
"Sun, Nov 5, 2023",3:00p,Phoenix Suns,120,Detroit Pistons,106,Box Score,,20062.0,Little Caesars Arena,,20231105,DET,PHO,DET,PHO
"Sun, Nov 5, 2023",3:30p,Toronto Raptors,123,San Antonio Spurs,116,Box Score,OT,18354.0,Frost Bank Center,,20231105,SAS,TOR,SAS,TOR
"Sun, Nov 5, 2023",6:00p,Golden State Warriors,104,Cleveland Cavaliers,115,Box Score,,19432.0,Rocket Mortgage Fieldhouse,,20231105,CLE,GSW,CLE,GSW
"Sun, Nov 5, 2023",7:30p,Charlotte Hornets,118,Dallas Mavericks,124,Box Score,,20052.0,American Airlines Center,,20231105,DAL,CHO,DAL,CHO
"Sun, Nov 5, 2023",9:00p,Memphis Grizzlies,112,Portland Trail Blazers,100,Box Score,,18187.0,Moda Center,,20231105,POR,MEM,POR,MEM
"Mon, Nov 6, 2023",7:00p,Golden State Warriors,120,Detroit Pistons,109,Box Score,,20062.0,Little Caesars Arena,,20231106,DET,GSW,DET,GSW
"Mon, Nov 6, 2023",7:00p,San Antonio Spurs,111,Indiana Pacers,152,Box Score,,15129.0,Gainbridge Fieldhouse,,20231106,IND,SAS,IND,SAS
"Mon, Nov 6, 2023",7:00p,Dallas Mavericks,117,Orlando Magic,102,Box Score,,19409.0,Kia Center,,20231106,ORL,DAL,ORL,DAL
"Mon, Nov 6, 2023",7:00p,Washington Wizards,128,Philadelphia 76ers,146,Box Score,,19765.0,Wells Fargo Center,,20231106,PHI,WAS,PHI,WAS
"Mon, Nov 6, 2023",7:30p,Milwaukee Bucks,129,Brooklyn Nets,125,Box Score,,17935.0,Barclays Center,,20231106,BRK,MIL,BRK,MIL
"Mon, Nov 6, 2023",7:30p,Los Angeles Lakers,107,Miami Heat,108,Box Score,,19725.0,Kaseya Center,,20231106,MIA,LAL,MIA,LAL
"Mon, Nov 6, 2023",7:30p,Los Angeles Clippers,97,New York Knicks,111,Box Score,,19812.0,Madison Square Garden (IV),,20231106,NYK,LAC,NYK,LAC
"Mon, Nov 6, 2023",8:00p,Utah Jazz,113,Chicago Bulls,130,Box Score,,18031.0,United Center,,20231106,CHI,UTA,CHI,UTA
"Mon, Nov 6, 2023",8:00p,Sacramento Kings,97,Houston Rockets,122,Box Score,,15130.0,Toyota Center,,20231106,HOU,SAC,HOU,SAC
"Mon, Nov 6, 2023",8:00p,Boston Celtics,109,Minnesota Timberwolves,114,Box Score,OT,18024.0,Target Center,,20231106,MIN,BOS,MIN,BOS
"Mon, Nov 6, 2023",8:00p,Atlanta Hawks,117,Oklahoma City Thunder,126,Box Score,,16486.0,Paycom Center,,20231106,OKC,ATL,OKC,ATL
"Mon, Nov 6, 2023",9:00p,New Orleans Pelicans,116,Denver Nuggets,134,Box Score,,19544.0,Ball Arena,,20231106,DEN,NOP,DEN,NOP
"Wed, Nov 8, 2023",7:00p,Washington Wizards,132,Charlotte Hornets,116,Box Score,,14267.0,Spectrum Center,,20231108,CHO,WAS,CHO,WAS
"Wed, Nov 8, 2023",7:00p,Utah Jazz,118,Indiana Pacers,134,Box Score,,14509.0,Gainbridge Fieldhouse,,20231108,IND,UTA,IND,UTA
"Wed, Nov 8, 2023",7:00p,Boston Celtics,103,Philadelphia 76ers,106,Box Score,,19953.0,Wells Fargo Center,,20231108,PHI,BOS,PHI,BOS
"Wed, Nov 8, 2023",7:30p,Los Angeles Clippers,93,Brooklyn Nets,100,Box Score,,17933.0,Barclays Center,,20231108,BRK,LAC,BRK,LAC
"Wed, Nov 8, 2023",7:30p,San Antonio Spurs,105,New York Knicks,126,Box Score,,19812.0,Madison Square Garden (IV),,20231108,NYK,SAS,NYK,SAS
"Wed, Nov 8, 2023",8:00p,Phoenix Suns,116,Chicago Bulls,115,Box Score,OT,18220.0,United Center,,20231108,CHI,PHO,CHI,PHO
"Wed, Nov 8, 2023",8:00p,Los Angeles Lakers,94,Houston Rockets,128,Box Score,,18055.0,Toyota Center,,20231108,HOU,LAL,HOU,LAL
"Wed, Nov 8, 2023",8:00p,Miami Heat,108,Memphis Grizzlies,102,Box Score,,16781.0,FedEx Forum,,20231108,MEM,MIA,MEM,MIA
"Wed, Nov 8, 2023",8:00p,Detroit Pistons,118,Milwaukee Bucks,120,Box Score,,17341.0,Fiserv Forum,,20231108,MIL,DET,MIL,DET
"Wed, Nov 8, 2023",8:00p,New Orleans Pelicans,101,Minnesota Timberwolves,122,Box Score,,18024.0,Target Center,,20231108,MIN,NOP,MIN,NOP
"Wed, Nov 8, 2023",8:00p,Cleveland Cavaliers,120,Oklahoma City Thunder,128,Box Score,,16314.0,Paycom Center,,20231108,OKC,CLE,OKC,CLE
"Wed, Nov 8, 2023",8:30p,Toronto Raptors,127,Dallas Mavericks,116,Box Score,,20063.0,American Airlines Center,,20231108,DAL,TOR,DAL,TOR
"Wed, Nov 8, 2023",10:00p,Golden State Warriors,105,Denver Nuggets,108,Box Score,,19737.0,Ball Arena,,20231108,DEN,GSW,DEN,GSW
"Wed, Nov 8, 2023",10:00p,Portland Trail Blazers,118,Sacramento Kings,121,Box Score,OT,17829.0,Golden 1 Center,,20231108,SAC,POR,SAC,POR
"Thu, Nov 9, 2023",7:00p,Milwaukee Bucks,124,Indiana Pacers,126,Box Score,,14648.0,Gainbridge Fieldhouse,,20231109,IND,MIL,IND,MIL
"Thu, Nov 9, 2023",9:30p,Atlanta Hawks,120,Orlando Magic,119,Box Score,,19986.0,Mexico City Arena,"at Mexico City, Mexico",20231109,ORL,ATL,ORL,ATL
"Fri, Nov 10, 2023",7:00p,Philadelphia 76ers,114,Detroit Pistons,106,Box Score,,18902.0,Little Caesars Arena,In-Season Tournament,20231110,DET,PHI,DET,PHI
"Fri, Nov 10, 2023",7:00p,Charlotte Hornets,124,Washington Wizards,117,Box Score,,17602.0,Capital One Arena,In-Season Tournament,20231110,WAS,CHO,WAS,CHO
"Fri, Nov 10, 2023",7:30p,Brooklyn Nets,107,Boston Celtics,121,Box Score,,19156.0,TD Garden,In-Season Tournament,20231110,BOS,BRK,BOS,BRK
"Fri, Nov 10, 2023",8:00p,New Orleans Pelicans,101,Houston Rockets,104,Box Score,,16236.0,Toyota Center,In-Season Tournament,20231110,HOU,NOP,HOU,NOP
"Fri, Nov 10, 2023",8:00p,Utah Jazz,127,Memphis Grizzlies,121,Box Score,,16977.0,FedEx Forum,In-Season Tournament,20231110,MEM,UTA,MEM,UTA
"Fri, Nov 10, 2023",8:00p,Minnesota Timberwolves,117,San Antonio Spurs,110,Box Score,,18354.0,Frost Bank Center,In-Season Tournament,20231110,SAS,MIN,SAS,MIN
"Fri, Nov 10, 2023",8:30p,Los Angeles Clippers,126,Dallas Mavericks,144,Box Score,,20377.0,American Airlines Center,In-Season Tournament,20231110,DAL,LAC,DAL,LAC
