,Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP.1,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM,Games Played
DEN,Team Totals,240.0,43.3125,89.0,0.48843749999999997,11.4375,32.25,0.3558125,13.8125,19.25,0.7090000000000001,11.0,33.125,44.125,28.5,6.9375,5.4375,12.4375,18.5625,111.875,,240.0,0.5755,0.5529375000000001,0.3619375,0.2208125,25.262500000000003,76.29375000000002,50.90625,65.41874999999999,7.181250000000001,9.631250000000003,11.318749999999998,100.0,116.30625,112.88125,,16
LAL,Team Totals,243.125,41.5,84.8125,0.49037500000000006,10.0625,29.3125,0.3366874999999999,19.3125,25.4375,0.7575000000000001,8.3125,36.1875,44.5,26.125,7.687500000000001,6.0,14.5,17.625,112.375,,243.125,0.5858750000000001,0.5495625,0.3445625,0.29862500000000003,20.250000000000004,75.70625000000001,49.77499999999999,62.75625,7.6375,10.65625,13.124999999999998,100.0,111.63124999999998,111.35,,16
GSW,Team Totals,241.47058823529412,40.529411764705884,90.23529411764706,0.450470588235294,14.411764705882353,39.588235294117645,0.36341176470588243,18.705882352941178,23.941176470588236,0.7862941176470588,13.294117647058824,33.11764705882353,46.411764705882355,27.941176470588236,7.647058823529412,3.3529411764705883,15.0,21.88235294117647,114.17647058823529,,241.47058823529412,0.5690588235294118,0.5313529411764707,0.44058823529411767,0.2669411764705881,27.75294117647059,75.12352941176472,50.90588235294117,69.25882352941179,7.623529411764707,6.158823529411765,12.947058823529414,100.0,114.73529411764707,114.4647058823529,,17
PHO,Team Totals,244.6875,40.93750000000001,85.4375,0.48056249999999995,12.875,32.9375,0.3910625000000001,22.4375,26.8125,0.8354374999999999,10.625,33.1875,43.8125,26.375,7.375,6.9375,14.75,19.0625,117.1875,,244.6875,0.6044375,0.5556875,0.38362500000000005,0.3185625,25.99375,74.23125000000002,51.53125,64.23750000000001,7.456249999999999,11.875000000000004,13.0875,100.0,119.19999999999997,115.03124999999999,,16
ORL,Team Totals,240.0,40.1875,86.4375,0.465125,10.25,30.3125,0.33824999999999994,20.9375,27.5,0.7603125000000002,12.0,32.25,44.25,24.1875,9.4375,5.5625,15.0,21.25,111.5625,,240.0,0.56625,0.5244374999999999,0.35237499999999994,0.3221875,27.850000000000005,78.87499999999999,52.84375,60.4625,9.518749999999999,10.78125,13.231250000000001,100.0,112.74374999999998,107.80625000000002,,16
HOU,Team Totals,241.78571428571428,40.857142857142854,87.42857142857143,0.4677142857142857,12.5,34.57142857142857,0.3621428571428571,15.428571428571429,20.357142857142858,0.7566428571428572,9.285714285714286,34.785714285714285,44.07142857142857,25.857142857142858,6.857142857142857,4.071428571428571,12.285714285714286,22.142857142857142,109.64285714285714,,241.78571428571428,0.5699285714285715,0.5401428571428571,0.3964285714285714,0.23421428571428574,21.13571428571428,76.52857142857144,49.54285714285715,63.34285714285714,7.078571428571428,8.2,11.27142857142857,100.0,113.34285714285713,107.79999999999997,,14
NYK,Team Totals,240.0,39.6,90.26666666666667,0.43959999999999994,13.4,36.33333333333333,0.36526666666666663,16.866666666666664,23.2,0.7376666666666666,13.733333333333333,33.6,47.333333333333336,22.933333333333334,7.933333333333334,2.533333333333333,12.333333333333334,17.8,109.46666666666667,,240.0,0.5460666666666666,0.5137333333333333,0.40246666666666664,0.25786666666666674,30.25333333333333,80.65333333333334,54.313333333333325,57.586666666666666,8.3,5.206666666666666,10.900000000000002,100.0,114.85333333333334,110.50666666666667,,15
BOS,Team Totals,243.125,41.625,88.4375,0.47068750000000004,15.4375,42.75,0.361875,17.3125,22.0,0.7880625,9.8125,36.3125,46.125,24.1875,6.25,5.5,12.6875,17.5625,116.0,,243.125,0.5921874999999998,0.5574999999999999,0.482625,0.253125,22.687500000000004,76.9625,51.25,58.293749999999996,6.299999999999999,10.031250000000002,11.456249999999997,100.0,118.42500000000003,109.71875000000001,,16
IND,Team Totals,240.0,48.0,95.06666666666666,0.5047333333333335,15.666666666666666,39.733333333333334,0.392,17.133333333333333,21.333333333333332,0.8054,9.733333333333333,30.333333333333332,40.06666666666667,30.333333333333332,7.733333333333333,6.4,12.333333333333334,22.066666666666666,128.8,,240.0,0.6168666666666666,0.5875333333333332,0.4192666666666666,0.22646666666666668,23.186666666666667,72.47999999999999,47.6,63.29333333333334,7.44,9.66,10.56,100.0,124.47333333333334,121.27333333333335,,15
WAS,Team Totals,240.0,44.13333333333333,91.86666666666666,0.48026666666666673,12.333333333333334,34.79999999999998,0.3592000000000001,15.4,19.933333333333337,0.7716666666666666,8.733333333333336,30.333333333333332,39.06666666666667,27.466666666666665,7.9333333333333345,4.733333333333333,13.133333333333333,19.666666666666668,116.0,,240.0,0.5766666666666665,0.5474,0.3795333333333334,0.21779999999999997,18.633333333333336,70.30666666666667,43.50666666666667,62.44666666666668,7.706666666666666,8.159999999999998,11.56,100.0,112.92666666666665,121.01333333333335,,15
CHO,Team Totals,241.78571428571428,42.92857142857143,91.35714285714286,0.47071428571428575,10.42857142857143,30.714285714285715,0.33621428571428563,17.642857142857142,22.714285714285715,0.7815714285714286,12.571428571428571,33.07142857142857,45.642857142857146,25.285714285714285,7.071428571428571,4.714285714285715,13.714285714285714,20.5,113.92857142857143,,241.78571428571428,0.5642857142857143,0.5287857142857143,0.33814285714285713,0.25207142857142856,26.86428571428571,76.71428571428574,50.892857142857146,58.79285714285714,6.985714285714287,9.142857142857142,11.985714285714286,100.0,113.29285714285716,121.05,,14
ATL,Team Totals,241.78571428571428,44.142857142857146,91.42857142857143,0.4852857142857143,13.214285714285714,36.07142857142858,0.3654285714285714,22.642857142857142,27.0,0.8404285714285715,13.071428571428571,31.71428571428572,44.785714285714285,26.428571428571427,8.928571428571429,5.0,14.785714285714286,18.571428571428573,124.14285714285714,,241.78571428571428,0.6033571428571428,0.5578571428571428,0.39478571428571424,0.2967142857142857,29.014285714285716,72.87142857142858,51.285714285714285,60.378571428571426,8.721428571428572,8.885714285714286,12.550000000000002,100.0,121.56428571428572,119.96428571428571,,14
MIA,Team Totals,240.0,39.4375,85.1875,0.46425,12.75,33.4375,0.38356250000000003,19.0,22.1875,0.8486875,9.375,31.812499999999996,41.1875,25.6875,9.125000000000002,3.3125,12.3125,17.625,110.625,,240.0,0.5838749999999999,0.5390625,0.3934375,0.2619375,21.662499999999998,77.00625,48.81875,64.9875,9.475,6.65625,11.43125,100.0,114.8625,111.50624999999998,,16
DET,Team Totals,240.0,41.0625,88.4375,0.4645,10.0625,28.5,0.3553125,17.5625,21.4375,0.824,12.5625,33.125,45.6875,26.5,5.8125,5.75,16.625,23.3125,109.75,,240.0,0.561,0.5215,0.32206250000000003,0.24450000000000002,28.90625,75.54375000000003,52.206250000000004,64.5125,5.875,9.581249999999999,14.51875,100.0,111.0125,118.425,,16
TOR,Team Totals,243.125,42.375,89.6875,0.473,11.625,33.437499999999986,0.3443125,16.1875,22.1875,0.733125,12.0,33.500000000000014,45.5,28.8125,7.875,4.6875,14.4375,18.5625,112.5625,,243.125,0.5665,0.5383125000000002,0.37337499999999996,0.2476875,26.431250000000002,77.93124999999999,51.76875000000001,68.17499999999998,7.887500000000001,8.525000000000002,12.7375,100.0,112.8375,113.375,,16
MIN,Team Totals,241.66666666666666,41.39999999999999,85.33333333333333,0.4876,11.0,30.4,0.36000000000000004,19.2,24.666666666666668,0.7706666666666668,9.533333333333335,35.733333333333334,45.266666666666666,25.266666666666666,7.8,6.4,14.266666666666667,19.466666666666665,113.0,,241.66666666666666,0.5896666666666667,0.5524666666666666,0.35773333333333335,0.29173333333333334,23.15333333333334,75.83333333333333,51.31333333333334,61.1,7.906666666666666,11.580000000000002,12.866666666666667,100.0,114.40666666666667,108.38666666666667,,15
BRK,Team Totals,241.78571428571428,42.857142857142854,91.5,0.469357142857143,15.0,38.99999999999999,0.38757142857142857,14.642857142857142,19.071428571428573,0.7684285714285715,11.857142857142858,35.714285714285715,47.57142857142857,25.785714285714285,5.714285714285714,5.285714285714286,13.285714285714286,19.21428571428572,115.35714285714286,,241.78571428571428,0.5782857142857145,0.551642857142857,0.4257857142857143,0.2125,25.764285714285712,77.28571428571429,51.85714285714285,60.90714285714286,5.749999999999999,10.028571428571427,11.72857142857143,100.0,116.35714285714286,117.34285714285714,,14
CLE,Team Totals,241.66666666666666,40.866666666666674,85.86666666666666,0.47766666666666674,11.333333333333334,32.066666666666684,0.3578,17.8,23.066666666666666,0.7780000000000001,10.333333333333334,34.06666666666667,44.4,24.866666666666667,7.466666666666667,5.4,13.866666666666667,19.266666666666666,110.86666666666666,,241.66666666666666,0.5789333333333334,0.5437999999999998,0.3738,0.27113333333333334,24.146666666666665,74.58666666666666,50.29999999999999,60.879999999999995,7.533333333333332,9.68,12.706666666666667,100.0,112.95999999999998,114.94000000000003,,15
MEM,Team Totals,241.66666666666666,38.733333333333334,91.2,0.4252000000000001,13.266666666666667,40.13333333333333,0.3275333333333334,15.466666666666667,19.933333333333334,0.7720000000000001,10.666666666666666,31.333333333333332,42.0,24.066666666666666,7.7333333333333325,6.066666666666666,13.4,21.666666666666668,106.2,,241.66666666666666,0.5316666666666668,0.4971999999999999,0.43793333333333334,0.22226666666666667,22.813333333333336,76.50666666666666,47.91999999999999,62.46,7.733333333333333,12.613333333333335,11.82,100.0,106.93333333333334,114.49999999999999,,15
NOP,Team Totals,240.0,42.0,88.5,0.475375,11.3125,31.25,0.36668749999999994,18.375,24.8125,0.734125,10.6875,34.187500000000014,44.875,25.5625,7.75,4.5625,13.4375,20.375,113.6875,,240.0,0.5727500000000001,0.5391249999999999,0.3523125,0.2833750000000001,23.481249999999996,75.71249999999999,49.74999999999999,60.23125,7.78125,9.05625,11.887500000000001,100.0,113.74374999999999,113.49374999999999,,16
CHI,Team Totals,242.94117647058823,39.294117647058826,88.88235294117646,0.4431764705882352,11.647058823529411,33.35294117647059,0.35211764705882354,16.294117647058822,20.235294117647058,0.8097058823529412,10.882352941176471,30.11764705882353,41.0,21.823529411764707,8.470588235294118,4.470588235294118,11.588235294117647,20.352941176470587,106.52941176470588,,242.94117647058823,0.5458235294117648,0.508764705882353,0.37599999999999995,0.22823529411764706,23.294117647058822,73.08235294117645,46.829411764705874,55.70588235294118,8.782352941176471,9.811764705882354,10.594117647058821,100.0,111.2,117.00588235294116,,17
OKC,Team Totals,241.66666666666666,43.333333333333336,86.26666666666667,0.5034666666666668,12.733333333333333,31.2,0.4063333333333334,19.933333333333334,23.133333333333333,0.8645333333333335,7.466666666666667,33.99999999999999,41.46666666666667,25.466666666666665,8.266666666666667,6.2,13.733333333333333,19.066666666666666,119.33333333333333,,241.66666666666666,0.6201333333333332,0.5781333333333335,0.36360000000000003,0.27146666666666674,19.546666666666663,70.25999999999999,47.580000000000005,58.93333333333333,8.239999999999998,11.740000000000002,12.446666666666667,100.0,119.3733333333333,110.11999999999999,,15
UTA,Team Totals,243.33333333333334,41.666666666666664,91.53333333333333,0.4580666666666666,13.6,37.93333333333333,0.35979999999999995,17.933333333333334,22.2,0.8052666666666666,15.066666666666666,31.933333333333334,47.0,26.866666666666667,6.4,5.4,16.8,20.733333333333334,114.86666666666666,,243.33333333333334,0.5698,0.5334666666666668,0.4162666666666668,0.2462,32.44666666666668,75.57333333333332,53.06000000000001,64.50666666666667,6.353333333333334,10.139999999999999,14.240000000000002,100.0,114.74666666666664,122.58,,15
SAC,Team Totals,243.33333333333334,41.8,90.0,0.46406666666666674,14.8,42.06666666666667,0.3532,17.133333333333333,23.2,0.7390666666666668,10.666666666666666,32.8,43.46666666666667,27.4,7.799999999999999,4.333333333333333,13.333333333333334,21.266666666666666,115.53333333333333,,243.33333333333334,0.5768,0.5466666666666669,0.4698666666666666,0.26213333333333333,23.433333333333337,78.50666666666666,49.826666666666675,65.93333333333335,7.666666666666668,7.780000000000001,11.726666666666668,100.0,114.90666666666668,115.03999999999999,,15
SAS,Team Totals,243.125,41.6875,91.5625,0.45425,12.3125,36.4375,0.33693749999999995,14.1875,18.3125,0.7718125,10.1875,32.50000000000001,42.6875,28.6875,7.125,6.0,16.000000000000004,20.125,109.875,,243.125,0.550625,0.5216875,0.39881250000000007,0.2013125,22.206250000000004,77.87500000000001,48.71874999999999,68.85625000000002,6.85625,11.468749999999998,13.800000000000002,100.0,107.0,119.58125000000001,,16
DAL,Team Totals,240.0,43.46666666666667,91.13333333333334,0.4768666666666667,16.666666666666668,43.53333333333333,0.3833333333333334,17.933333333333334,24.333333333333332,0.7420666666666667,10.066666666666666,32.733333333333334,42.8,25.466666666666665,5.866666666666666,4.000000000000001,11.533333333333333,17.66666666666667,121.53333333333333,,240.0,0.5969333333333332,0.5687999999999999,0.4790666666666666,0.27106666666666673,22.386666666666667,74.18666666666668,48.11333333333333,58.74666666666666,5.880000000000001,6.973333333333333,10.166666666666664,100.0,120.81333333333333,118.4,,15
LAC,Team Totals,241.78571428571428,41.214285714285715,87.42857142857143,0.4718571428571428,12.214285714285714,33.50000000000001,0.3651428571428571,18.000000000000004,23.428571428571427,0.7729285714285715,10.428571428571429,33.71428571428571,44.142857142857146,24.714285714285715,10.428571428571429,4.357142857142857,14.071428571428571,21.071428571428573,112.64285714285714,,241.78571428571428,0.5770000000000001,0.5419285714285715,0.3845714285714286,0.2696428571428571,24.257142857142856,74.14999999999998,49.92857142857143,60.107142857142854,10.492857142857144,7.985714285714286,12.657142857142857,100.0,113.56428571428572,110.73571428571428,,14
POR,Team Totals,243.33333333333334,38.8,89.4,0.43446666666666667,10.8,33.33333333333333,0.32466666666666666,15.999999999999998,20.466666666666665,0.7799999999999999,12.4,28.533333333333335,40.93333333333333,22.0,8.6,5.0,15.333333333333334,20.2,104.4,,243.33333333333334,0.5307999999999998,0.4948,0.37200000000000016,0.23,26.04666666666667,72.04666666666667,47.15333333333334,56.606666666666676,8.753333333333334,8.95333333333333,13.479999999999999,100.0,106.53333333333335,115.5333333333333,,15
MIL,Team Totals,240.0,43.5625,87.875,0.49537499999999995,14.0,37.18750000000001,0.3733125,20.000000000000004,26.125,0.77125,8.75,34.5,43.25,24.6875,7.0,5.1875,13.0,19.625,121.125,,240.0,0.6095,0.5753125000000001,0.42393749999999997,0.30168750000000005,20.7,75.28125000000001,48.97500000000001,56.668749999999996,6.956250000000001,9.025,11.59375,100.0,120.11875,117.50625,,16
PHI,Team Totals,241.66666666666666,42.2,89.33333333333333,0.47259999999999996,11.0,30.4,0.3596000000000001,23.533333333333335,27.4,0.8576666666666667,11.866666666666667,34.00000000000001,45.86666666666667,25.0,8.533333333333331,6.333333333333333,12.533333333333333,20.266666666666666,118.93333333333334,,241.66666666666666,0.5866,0.5341333333333332,0.3410000000000001,0.31106666666666666,26.82,75.48000000000002,51.65333333333333,59.153333333333336,8.586666666666666,11.146666666666668,10.939999999999998,100.0,120.1066666666667,113.30000000000001,,15
