,Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP.1,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM,Games Played
DEN,Team Totals,240.0,44.3448275862069,90.44827586206897,0.4916206896551724,11.724137931034482,31.413793103448278,0.3747931034482759,14.758620689655173,20.344827586206897,0.7149655172413792,11.620689655172415,33.06896551724138,44.689655172413794,29.620689655172413,7.103448275862069,5.172413793103448,11.413793103448276,18.93103448275862,115.17241379310344,,240.0,0.5805517241379311,0.5567241379310346,0.3474827586206897,0.22868965517241377,26.579310344827583,75.40689655172413,51.1241379310345,66.50689655172415,7.3275862068965525,9.16551724137931,10.275862068965518,100.0,119.41724137931033,114.37241379310343,,29
LAL,Team Totals,241.66666666666666,42.3,87.03333333333333,0.48733333333333334,10.366666666666667,29.933333333333334,0.3390999999999999,18.866666666666664,24.733333333333334,0.7605333333333335,8.8,35.63333333333333,44.43333333333333,26.833333333333332,7.533333333333333,5.733333333333333,13.966666666666667,17.366666666666667,113.83333333333333,,241.66666666666666,0.5821000000000001,0.5468666666666667,0.3433333333333334,0.28526666666666667,20.95,76.66666666666669,50.05333333333333,63.27666666666668,7.456666666666665,10.256666666666666,12.496666666666663,100.0,112.88333333333328,113.08333333333333,,30
GSW,Team Totals,242.77777777777777,41.25925925925926,90.5925925925926,0.45648148148148143,15.0,40.33333333333332,0.37185185185185193,18.962962962962962,23.962962962962962,0.7961111111111111,13.37037037037037,33.96296296296296,47.333333333333336,27.666666666666668,7.0,3.4444444444444446,14.88888888888889,21.666666666666668,116.48148148148148,,242.77777777777777,0.5776666666666669,0.5397777777777779,0.4464444444444445,0.26766666666666666,28.481481481481485,75.52962962962967,51.88518518518518,67.37777777777781,7.003703703703703,6.437037037037038,12.755555555555556,100.0,116.75555555555556,116.23703703703701,,27
PHO,Team Totals,242.77777777777777,40.555555555555564,85.88888888888889,0.4733703703703703,11.703703703703704,31.481481481481477,0.3691111111111112,22.037037037037038,26.62962962962963,0.8252222222222222,10.88888888888889,33.18518518518518,44.074074074074076,26.22222222222222,7.037037037037037,6.555555555555555,14.148148148148149,19.0,114.85185185185185,,242.77777777777777,0.5900740740740741,0.5416296296296298,0.366037037037037,0.31381481481481494,26.34444444444445,74.32592592592594,51.440740740740736,64.59259259259258,7.151851851851851,11.481481481481483,12.61851851851852,100.0,117.65555555555555,116.56666666666666,,27
ORL,Team Totals,240.0,41.22222222222222,87.11111111111111,0.4736296296296296,10.11111111111111,30.14814814814815,0.335111111111111,20.444444444444443,26.74074074074074,0.7638888888888893,11.185185185185185,32.629629629629626,43.81481481481482,25.22222222222222,8.25925925925926,5.518518518518518,13.925925925925926,21.703703703703702,113.0,,240.0,0.571814814814815,0.5317037037037037,0.3468888888888888,0.310037037037037,26.114814814814828,78.17407407407406,51.92592592592593,61.22592592592592,8.329629629629629,10.540740740740741,12.329629629629629,100.0,113.88888888888887,111.21851851851852,,27
HOU,Team Totals,242.0,40.44,87.68,0.46187999999999996,12.48,34.04,0.36732,18.0,23.0,0.7808799999999999,10.159999999999998,35.04,45.2,25.64,6.36,4.52,12.48,22.28,111.36,,242.0,0.5704400000000001,0.5337199999999999,0.38939999999999997,0.26396,23.179999999999996,76.50799999999997,50.58,63.367999999999995,6.507999999999999,8.788,11.251999999999999,100.0,114.29999999999998,111.21199999999999,,25
NYK,Team Totals,240.0,41.44444444444445,89.62962962962963,0.4637037037037037,13.296296296296296,34.96296296296297,0.3805555555555555,18.518518518518515,24.48148148148148,0.7623333333333334,13.074074074074074,32.74074074074074,45.81481481481482,23.814814814814813,7.62962962962963,3.4074074074074074,12.185185185185185,17.888888888888886,114.70370370370371,,240.0,0.5728148148148147,0.5380000000000001,0.3897037037037036,0.274,30.048148148148147,76.50740740740738,52.870370370370374,57.14074074074074,7.92962962962963,6.514814814814816,10.799999999999999,100.0,119.16296296296298,115.67037037037036,,27
BOS,Team Totals,242.77777777777777,42.96296296296296,89.88888888888889,0.4785925925925927,16.037037037037038,42.925925925925924,0.37651851851851853,16.962962962962962,21.037037037037045,0.8031111111111111,10.851851851851851,36.074074074074076,46.925925925925924,25.185185185185187,6.814814814814815,6.333333333333333,12.666666666666666,17.518518518518523,118.92592592592592,,242.77777777777777,0.6013333333333334,0.5679259259259257,0.4770000000000001,0.23974074074074084,24.92962962962963,76.6222222222222,51.981481481481474,58.65555555555554,6.896296296296295,11.88888888888889,11.351851851851848,100.0,121.29259259259261,111.80370370370372,,27
IND,Team Totals,240.0,47.214285714285715,94.35714285714286,0.5016785714285714,14.25,38.214285714285715,0.37024999999999997,17.749999999999996,22.142857142857142,0.8020714285714284,10.142857142857144,29.607142857142858,39.75,30.607142857142858,8.0,6.535714285714286,12.535714285714286,22.607142857142858,126.42857142857143,,240.0,0.6090714285714284,0.5778214285714284,0.4063571428571428,0.23642857142857146,23.93214285714286,73.07142857142854,48.007142857142846,65.05357142857143,7.732142857142859,10.289285714285713,10.725,100.0,122.60714285714288,122.08214285714287,,28
WAS,Team Totals,240.0,43.74074074074074,90.25925925925925,0.48477777777777775,12.37037037037037,34.44444444444443,0.3630370370370371,17.148148148148145,22.11111111111111,0.7861481481481482,8.14814814814815,31.074074074074073,39.22222222222222,27.62962962962963,7.592592592592593,5.111111111111111,13.666666666666666,19.88888888888889,117.0,,240.0,0.5856296296296297,0.5534074074074076,0.38240740740740736,0.2471111111111111,18.088888888888885,70.76296296296297,44.36666666666667,63.088888888888896,7.355555555555554,8.5037037037037,12.007407407407412,100.0,113.2222222222222,122.45185185185186,,27
