Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Marcus Smart,37:40,9,20,.450,4,13,.308,3,5,.600,0,6,6,8,3,0,5,2,25,+10,37:40,.563,.550,.650,.250,0.0,13.9,7.4,32.3,3.6,0.0,18.4,27.8,106,106,2.4
Desmond Bane,36:32,8,14,.571,2,7,.286,5,5,1.000,2,3,5,5,1,1,3,3,23,-13,36:32,.710,.643,.500,.357,5.4,7.2,6.3,20.2,1.2,1.8,15.6,20.3,133,112,4.4
Jaren Jackson Jr.,31:48,11,20,.550,3,8,.375,3,4,.750,1,9,10,6,0,1,2,5,28,+25,31:48,.643,.625,.400,.200,3.1,24.7,14.5,34.3,0.0,2.0,8.4,28.8,130,108,9.3
Luke Kennard,21:52,3,5,.600,3,3,1.000,0,0,,0,3,3,3,0,0,0,2,9,+2,21:52,.900,.900,.600,.000,0.0,12.0,6.3,18.1,0.0,0.0,0.0,8.8,188,114,4.1
Xavier Tillman Sr.,3:11,0,3,.000,0,1,.000,0,0,,3,0,3,0,0,0,0,1,0,-7,3:11,.000,.000,.333,.000,92.3,0.0,43.5,0.0,0.0,0.0,0.0,36.3,65,118,-34.7
Vince Williams Jr.,36:58,6,11,.545,3,4,.750,4,4,1.000,4,5,9,1,0,2,0,2,19,+23,36:58,.745,.682,.364,.364,10.6,11.8,11.2,3.7,0.0,3.5,0.0,13.3,166,112,5.9
Ziaire Williams,27:27,4,10,.400,1,5,.200,0,1,.000,2,2,4,3,2,0,1,4,9,+5,27:27,.431,.450,.500,.100,7.1,6.4,6.7,14.6,3.3,0.0,8.7,16.1,102,109,-2.7
Bismack Biyombo,25:58,0,2,.000,0,0,,1,2,.500,1,5,6,2,0,3,2,3,1,-5,25:58,.174,.000,.000,1.000,3.8,16.8,10.7,8.6,0.0,7.5,41.0,7.2,56,107,-5.8
Santi Aldama,15:34,2,11,.182,1,7,.143,2,3,.667,2,5,7,1,1,1,4,2,7,-5,15:34,.284,.227,.636,.273,12.6,28.0,20.8,8.4,2.9,4.2,24.5,40.4,58,99,-18.8
John Konchar,3:00,0,1,.000,0,1,.000,0,0,,0,1,1,0,0,0,0,0,0,-5,3:00,.000,.000,1.000,.000,0.0,29.1,15.4,0.0,0.0,0.0,0.0,12.8,0,108,-17.5
David Roddy,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Derrick Rose,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress
Team Totals,240,43,97,.443,17,49,.347,18,24,.750,15,39,54,29,7,8,17,24,121,,240,.562,.531,.505,.247,30.6,70.9,51.9,67.4,6.6,10.8,13.6,100.0,114.5,108.9,
